Source,sic_supplier,comp_supplier,comp_customer,sic_customer,Target,year3,conm_customer,conm_supplier,salecs_supplier,sales_supplier,sales_customer,Weight,Type
21791,1311,WICHITARIVEROIL,EXXON,2911,4503,1992,EXXON CORP,WICHITA RIVER OIL,3.199000000953674,9.885000050067902,206007,.32362166,Directed
22255,1311,SNYDEROIL,AMOCO,2911,15257,1992,AMOCO CORP,SNYDER OIL CORP,76.42399978637695,422.2569999694824,143967,.1809893,Directed
22323,1311,KELDONOIL,AMOCO,2911,15257,1992,AMOCO CORP,KELDON OIL CO,.2430000007152557,1.564000006532297,95746,.15537085,Directed
25956,1311,HSRESOURCES,AMOCO,2911,15257,1992,AMOCO CORP,HS RESOURCES INC,61.44700050354004,74.71599960327148,96229,.82240754,Directed
26013,1311,SMENERGY,TEXACO,2911,10482,1992,TEXACO,SM ENERGY CO,11.09100008010864,117.0780000686646,106203,.094731718,Directed
10938,1311,USENERGYWY,AMAX,3334,1365,1992,AMAX INC,U S ENERGY CORP/WY,4.229999899864197,22.97399944067001,10091.90008544922,.18412118,Directed
10148,1311,SUMMITPETROLEUM,SUN,4832,10165,1992,SUN CO INC,SUMMIT PETROLEUM CORP,.0640000030398369,.6909999996423721,7.277999997138977,.092619397,Directed
22255,1311,SNYDEROIL,SONAT,4922,9810,1992,SONAT,SNYDER OIL CORP,8.979000091552734,202.7769966125488,2905.385986328125,.044280171,Directed
4844,1311,FORESTOIL,ONEOK,4923,8151,1992,ONEOK INC,FOREST OIL CORP -OLD,22.39200019836426,76.33500099182129,677.1379928588867,.29333857,Directed
2697,1311,,NORTHWESTERN,4931,8001,1992,NORTHWESTERN,NEXEN INC,0,0,395.3530006408691,1,Directed
14815,1311,GLENROSEPETROLEUM,ALBERTSONS,5411,1240,1992,ALBERTSON'S,GLEN ROSE PETROLEUM CORP,1.078999996185303,3.855000078678131,11283.67797851563,.27989623,Directed
14228,1311,ENERGETICS,CIGNA,6324,2547,1992,CIGNA CORP,ENERGETICS INC,1.048000007867813,1.424000009894371,55734,.73595506,Directed
9859,1311,SOUTHERNMINERAL,UMC,6411,19798,1992,UMC CORP,SOUTHERN MINERAL CORP,.25,2.464999943971634,.8729999884963036,.10141988,Directed
2304,1381,BONRAYDRILLING,MARATHONOIL,1311,7017,1992,MARATHON OIL,BONRAY DRILLING CORP,1.730999946594238,9.63099992275238,11962,.17973211,Directed
9258,1381,ROWAN,SHELLOIL,1311,9653,1992,SHELL OIL,ROWAN COMPANIES PLC,32.6609992980957,272.1719970703125,22201,.12000132,Directed
11644,1381,KEYENERGYSERVICES,SHELLOIL,1311,9653,1992,SHELL OIL,KEY ENERGY SERVICES INC,3.280999958515167,45.40499973297119,43361,.072260767,Directed
11925,1381,NOBL,UNOCAL,1311,11038,1992,UNOCAL CORP,NOBLE CORP PLC,0,177.3779983520508,9685,.1,Directed
14458,1381,CLIFFSDRILLING,MARATHONOIL,1311,7017,1992,MARATHON OIL,CLIFFS DRILLING CO,22.64100027084351,226.2769994735718,38719,.10005878,Directed
15759,1381,GRACEENERGY,SHELLOIL,1311,9653,1992,SHELL OIL,GRACE ENERGY CORP,13.375,479.2210006713867,22201,.027909879,Directed
16932,1381,MARINEDRILLING,SHELLOIL,1311,9653,1992,SHELL OIL,MARINE DRILLING CO INC,4.427000045776367,31.62100076675415,21160,.14000189,Directed
20134,1381,GREYWOLF,MARATHONOIL,1311,7017,1992,MARATHON OIL,GREY WOLF INC,6.228000164031982,65.36000061035156,13975,.095287636,Directed
22020,1381,CHILESOFFSHORE,SHELLOIL,1311,9653,1992,SHELL OIL,CHILES OFFSHORE CORP,18.88199996948242,122.3629999160767,43054,.15431136,Directed
28338,1381,TRANSOCEAN,SHELLOIL,1311,9653,1992,SHELL OIL,TRANSOCEAN LTD,48.6349983215332,202.5350036621094,21160,.24013132,Directed
2270,1381,ENSCOROWAN,CHEVRON,2911,2991,1992,CHEVRON CP,VALARIS PLC,51.80000028759241,1018.718002319336,246375,.050848223,Directed
4367,1381,WEATHERFORD,TEXACO,2911,10482,1992,TEXACO INC,WEATHERFORD INTL PLC,40.71500015258789,616.1139945983887,106203,.06608355,Directed
10306,1381,TMBRSHARPDRILLING,ATLANTICRIC,2911,1848,1992,ATLANTIC RIC,TMBR/SHARP DRILLING INC,.9029999971389771,18.55299973487854,17503,.048671376,Directed
10306,1381,TMBRSHARPDRILLING,TEXACO,2911,10482,1992,TEXACO INC,TMBR/SHARP DRILLING INC,4.249000012874603,50.22299993038177,106203,.084602669,Directed
11644,1381,KEYENERGYSERVICES,TEXACO,2911,10482,1992,TEXACO INC,KEY ENERGY SERVICES INC,19.75299978256226,69.86499977111816,106203,.28273097,Directed
11925,1381,NOBL,CHEVRON,2911,2991,1992,CHEVRON CP,NOBLE CORP PLC,0,177.3779983520508,36461,.1,Directed
15759,1381,GRACEENERGY,EXXON,2911,4503,1992,EXXON CORP,GRACE ENERGY CORP,16.14999961853027,479.2210006713867,102847,.033700526,Directed
15759,1381,GRACEENERGY,TEXACO,2911,10482,1992,TEXACO INC,GRACE ENERGY CORP,6.434999942779541,479.2210006713867,37271,.013428043,Directed
22020,1381,CHILESOFFSHORE,CHEVRON,2911,2991,1992,CHEVRON CP,CHILES OFFSHORE CORP,33.34199905395508,114.0420007705688,66371,.29236597,Directed
22020,1381,CHILESOFFSHORE,TEXACO,2911,10482,1992,TEXACO INC,CHILES OFFSHORE CORP,28.38100004196167,166.8159999847412,106203,.17013356,Directed
28703,1381,DUALDRILLING,CHEVRON,2911,2991,1992,CHEVRON CP,DUAL DRILLING CO,11.61499977111816,116.1520004272461,32123,.099998273,Directed
3600,1381,CRESTED,AMAX,3334,1365,1992,AMAX INC,CRESTED CORP,3.176999926567078,8.442000046372414,10091.90008544922,.37633261,Directed
13174,1382,TGCIND,KERRMCGEE,1311,6403,1992,KERR-MCGEE,TGC INDUSTRIES INC,1.149000003933907,7.327000081539154,6656,.15681726,Directed
13174,1382,TGCIND,MARATHONOIL,1311,7017,1992,MARATHON OIL,TGC INDUSTRIES INC,2.447000026702881,12.43600010871887,24744,.19676745,Directed
13174,1382,TGCIND,ORYXENERGY,1311,14878,1992,ORYX ENERGY,TGC INDUSTRIES INC,1.001999974250793,4.88100004196167,1484,.2052858,Directed
13174,1382,TGCIND,AMOCO,2911,15257,1992,AMOCO CORP,TGC INDUSTRIES INC,1.623000025749207,4.88100004196167,47738,.33251384,Directed
9623,1389,SERVICEFRACTURING,MESA,1311,7276,1992,MESA-LP,SERVICE FRACTURING CO,1.61300003528595,16.36500000953674,222.2040023803711,.098564014,Directed
21237,1389,TETRATECHSDE,SHELLOIL,1311,9653,1992,SHELL OIL,TETRA TECHNOLOGIES INC/DE,0,205.3089990615845,64214,.1,Directed
21237,1389,TETRATECHSDE,ORYXENERGY,1311,14878,1992,ORYX ENERGY,TETRA TECHNOLOGIES INC/DE,0,120.0539999008179,2355,.1,Directed
25509,1389,SUPERIORENERGYSERVICES,MARATHONOIL,1311,7017,1992,MARATHON OIL,SUPERIOR ENERGY SERVICES INC,.2469999939203262,4.939999938011169,13975,.050000001,Directed
