Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles
25362,,,0,2,2,0,2,2,12,0.169587,0.18334,509.840644,0,0
10247,,,6,1,7,6,1,7,13,0.168169,0.185797,6758.825524,0,0
2663,,,2,1,3,2,1,3,12,0.205273,0.234751,3569.480044,0,0
6573,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
64102,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
155734,,,0,5,5,0,5,5,12,0.205009,0.237173,5924.654145,0,0
165360,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
9359,,,12,0,12,12,0,12,12,0.183274,0.206584,12286.538253,0,0
9777,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
62169,,,0,2,2,0,2,2,12,0.201166,0.231326,416.753592,0,0
158743,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
11748,,,0,1,1,0,1,1,13,0.138196,0.143646,0,0,0
11446,,,2,0,2,2,0,2,12,0.160344,0.16917,2070,0,0
106189,,,0,2,2,0,2,2,12,0.200058,0.22952,2070,0,0
25969,,,1,0,1,1,0,1,13,0.16672,0.181912,0,0,0
5071,,,1,1,2,1,1,2,12,0.200058,0.22952,387.287859,0,0
6375,,,1,1,2,1,1,2,12,0.207494,0.236998,3774.683481,0,0
24283,,,0,2,2,0,2,2,12,0.201244,0.231617,1622.850773,0,0
163983,,,0,2,2,0,2,2,12,0.20029,0.230107,2730.167476,0,0
4809,,,0,2,2,0,2,2,12,0.200135,0.229705,2209.309995,0,0
6140,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
10345,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
11535,,,2,0,2,2,0,2,13,0.167394,0.183438,253.635355,0,0
6574,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
142953,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
5597,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
8336,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
10609,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
14503,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
24755,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
110330,,,0,3,3,0,3,3,12,0.200251,0.230268,1410.911187,0,0
4016,,,6,0,6,6,0,6,13,0.179603,0.199912,3052.442147,0,0
12123,,,3,0,3,3,0,3,12,0.194351,0.211875,2760.843188,0,0
141038,,,0,2,2,0,2,2,12,0.173363,0.187741,321.742924,0,0
110289,,,0,2,2,0,2,2,13,0.154922,0.16779,2070,0,0
62590,,,1,0,1,1,0,1,14,0.13415,0.142099,0,0,0
65268,,,0,1,1,0,1,1,12,0.155212,0.165746,0,0,0
142812,,,1,3,4,1,3,4,12,0.201911,0.220773,8588.702642,0,0
16603,,,8,0,8,8,0,8,11,0.214035,0.23245,17672.255924,0,0
8479,,,4,2,6,4,2,6,12,0.200892,0.231668,6929.42376,0,0
119417,,,1,0,1,1,0,1,13,0.167299,0.182938,0,0,0
3138,,,6,1,7,6,1,7,12,0.207577,0.238653,14939.848076,0,0
112718,,,0,2,2,0,2,2,14,0.143045,0.152753,2070,0,0
2710,,,1,0,1,1,0,1,15,0.125151,0.131418,0,0,0
176378,,,0,1,1,0,1,1,12,0.155212,0.165746,0,0,0
5824,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
20338,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
24316,,,0,1,1,0,1,1,12,0.169227,0.182096,0,0,0
114415,,,0,2,2,0,2,2,11,0.166319,0.176289,1961.848003,0,0
148276,,,2,0,2,2,0,2,12,0.150618,0.158008,724.334285,0,0
28877,,,0,1,1,0,1,1,11,0.175137,0.185972,0,0,0
163627,,,0,2,2,0,2,2,10,0.218899,0.250767,26091.915049,0,0
31474,,,0,4,4,0,4,4,13,0.188461,0.20916,10751.123046,0,0
2290,,,5,0,5,5,0,5,13,0.197822,0.220291,6765.23369,0,0
65570,,,0,2,2,0,2,2,12,0.20029,0.230107,2730.167476,0,0
177795,,,0,2,2,0,2,2,12,0.20029,0.230107,2730.167476,0,0
25283,,,21,0,21,21,0,21,12,0.203598,0.231728,20953.70854,0,0
29342,,,0,2,2,0,2,2,12,0.201166,0.231326,416.753592,0,0
3813,,,45,0,45,45,0,45,12,0.205844,0.240872,47394.341176,0.00202,2
160163,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
13506,,,6,0,6,6,0,6,13,0.161456,0.175034,9413.027023,0,0
24474,,,9,2,11,9,2,11,10,0.198982,0.217252,31796.353314,0,0
8543,,,5,1,6,5,1,6,12,0.221972,0.253516,16134.206865,0,0
146197,,,0,2,2,0,2,2,13,0.170467,0.188631,18.147077,0,0
16476,,,1,7,8,1,7,8,12,0.205354,0.240702,12981.12951,0,0
11060,,,3,1,4,3,1,4,12,0.200135,0.230163,3753.879945,0,0
62836,,,0,1,1,0,2,2,12,0.192597,0.20937,0,0,0
8762,,,18,1,19,19,1,20,11,0.238512,0.274066,78657.808545,0,0
13046,,,0,2,2,0,2,2,13,0.16791,0.184462,5.144975,0,0
25987,,,1,3,4,1,3,4,12,0.201655,0.233167,4311.79253,0,0
65141,,,0,2,2,0,2,2,14,0.147266,0.159197,1470.415497,0,0
25761,,,2,1,3,2,1,3,13,0.170005,0.188386,3271.554602,0,0
3647,,,0,1,1,0,1,1,14,0.133673,0.140776,0,0,0
6543,,,2,0,2,2,0,2,13,0.154287,0.165766,2070,0,0
30169,,,0,1,1,0,1,1,13,0.170145,0.18181,0,0,0
64690,,,4,6,10,4,6,10,12,0.205009,0.227713,9732.463472,0,0
3622,,,0,3,3,0,3,3,12,0.202682,0.234184,872.053815,0,0
62898,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
4990,,,4,0,4,4,0,4,15,0.140179,0.150554,2965.166602,0,0
10639,,,20,0,20,20,0,20,13,0.179884,0.202905,10466.84636,0.005263,1
5377,,,0,2,2,0,2,2,13,0.173132,0.185454,12.404762,0,0
16477,,,5,3,8,5,3,8,12,0.205293,0.227498,10991.791727,0.178571,5
30884,,,0,6,6,0,6,6,12,0.160344,0.175114,7732.673029,0,0
266297,,,7,1,8,7,1,8,11,0.186442,0.207803,11856.931962,0,0
25399,,,0,2,2,0,2,2,13,0.169615,0.185074,267.120531,0,0
7127,,,14,0,14,14,0,14,13,0.171611,0.194144,10781.06336,0,0
27923,,,0,2,2,0,2,2,14,0.143471,0.15355,2070,0,0
14007,,,1,0,1,1,0,1,15,0.125477,0.131957,0,0,0
3964,,,10,0,10,10,0,10,13,0.171668,0.19412,10535.792381,0,0
13380,,,1,0,1,1,0,1,13,0.138196,0.146799,0,0,0
9293,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
29264,,,1,0,1,1,0,1,13,0.138196,0.146799,0,0,0
64304,,,1,0,1,1,0,1,13,0.138196,0.146799,0,0,0
7922,,,4,0,4,4,0,4,13,0.167462,0.184223,6991.031457,0,0
8551,,,0,5,5,0,5,5,12,0.201872,0.23371,5310.98029,0.1,1
13990,,,2,1,3,2,1,3,12,0.202424,0.232823,2901.73779,0.333333,1
10846,,,1,0,1,1,0,1,13,0.167978,0.184163,0,0,0
5505,,,0,2,2,0,2,2,14,0.146609,0.159602,78.437772,0,0
6214,,,0,2,2,0,2,2,12,0.201107,0.231371,231.464263,0,0
6768,,,0,3,3,0,3,3,13,0.170117,0.186719,1094.092515,0,0
